year,life60years,life50years,life40years,life30years,life20years
2013,14198135887,13796496137,12456074689,10263100814,7964115401
2014,14170476272,13734858668,12215582398,10031870025,7728939065
2015,14136150665,13659106537,11999179958,9754905208,7502536399
2016,14095163834,13574357282,11779305563,9472391130,7256108699
2017,14072021974,13485661733,11592519962,9231988885,6943866917
2018,14043404851,13363866537,11385074614,9003022199,6668936016
2019,13995819371,13221842347,11175395882,8798935313,6391890692
2020,13945257117,13050029142,10962646075,8571919420,6059751303
2021,13900827766,12854784119,10703032493,8378536878,5661324467
2022,13848823481,12656751455,10477847280,8161179446,5313298756
2023,13799695433,12465793188,10269889655,7965010510,4911688332
2024,13734858668,12215582398,10031870025,7728939065,4467812639
2025,13659106537,11999179958,9754905208,7502536399,4109277616
2026,13574357282,11779305563,9472391130,7256108699,3629165815
2027,13485661733,11592519962,9231988885,6943866917,3029378368
2028,13363866537,11385074614,9003022199,6668936016,2440909453
2029,13221842347,11175395882,8798935313,6391890692,1949386608
2030,13050029142,10962646075,8571919420,6059751303,1414290088
2031,12854784119,10703032493,8378536878,5661324467,936517978.4
2032,12656751455,10477847280,8161179446,5313298756,474654321.7
2033,12465793188,10269889655,7965010510,4911688332,0
2034,12215582398,10031870025,7728939065,4467812639,0
2035,11999179958,9754905208,7502536399,4109277616,0
2036,11779305563,9472391130,7256108699,3629165815,0
2037,11592519962,9231988885,6943866917,3029378368,0
2038,11385074614,9003022199,6668936016,2440909453,0
2039,11175395882,8798935313,6391890692,1949386608,0
2040,10962646075,8571919420,6059751303,1414290088,0
2041,10703032493,8378536878,5661324467,936517978.4,0
2042,10477847280,8161179446,5313298756,474654321.7,0
2043,10269889655,7965010510,4911688332,0,0
2044,10031870025,7728939065,4467812639,0,0
2045,9754905208,7502536399,4109277616,0,0
2046,9472391130,7256108699,3629165815,0,0
2047,9231988885,6943866917,3029378368,0,0
2048,9003022199,6668936016,2440909453,0,0
2049,8798935313,6391890692,1949386608,0,0
2050,8571919420,6059751303,1414290088,0,0
2051,8378536878,5661324467,936517978.4,0,0
2052,8161179446,5313298756,474654321.7,0,0
2053,7965010510,4911688332,0,0,0
2054,7728939065,4467812639,0,0,0
2055,7502536399,4109277616,0,0,0
2056,7256108699,3629165815,0,0,0
2057,6943866917,3029378368,0,0,0
2058,6668936016,2440909453,0,0,0
2059,6391890692,1949386608,0,0,0
2060,6059751303,1414290088,0,0,0
2061,5661324467,936517978.4,0,0,0
2062,5313298756,474654321.7,0,0,0
2063,4911688332,0,0,0,0
2064,4467812639,0,0,0,0
2065,4109277616,0,0,0,0
2066,3629165815,0,0,0,0
2067,3029378368,0,0,0,0
2068,2440909453,0,0,0,0
2069,1949386608,0,0,0,0
2070,1414290088,0,0,0,0
2071,936517978.4,0,0,0,0
2072,474654321.7,0,0,0,0
2073,0,0,0,0,0
2074,0,0,0,0,0
2075,0,0,0,0,0
2076,0,0,0,0,0
2077,0,0,0,0,0
2078,0,0,0,0,0
2079,0,0,0,0,0
2080,0,0,0,0,0
2081,0,0,0,0,0
2082,0,0,0,0,0
